Attaching to jenkins
jenkins  | Running from: /usr/share/jenkins/jenkins.war
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
jenkins  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
jenkins  | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
jenkins  | 	at org.codehaus.groovy.reflection.CachedMethod.invoke(CachedMethod.java:93)
jenkins  | 	at groovy.lang.MetaMethod.doMethodInvoke(MetaMethod.java:325)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeMethod(ClosureMetaClass.java:384)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PogoMetaClassSite.callCurrent(PogoMetaClassSite.java:69)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCallCurrent(CallSiteArray.java:52)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callCurrent(AbstractCallSite.java:154)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callCurrent(AbstractCallSite.java:166)
jenkins  | 	at script$_run_closure2$_closure6$_closure7$_closure8.doCall(script:20)
jenkins  | 	at script$_run_closure2$_closure6$_closure7$_closure8.doCall(script)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
jenkins  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
jenkins  | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
jenkins  | 	at org.codehaus.groovy.reflection.CachedMethod.invoke(CachedMethod.java:93)
jenkins  | 	at groovy.lang.MetaMethod.doMethodInvoke(MetaMethod.java:325)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeMethod(ClosureMetaClass.java:294)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
